perfume_id,brand,name,img_url,old_price,new_price,price_THB,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings,,,,,THB,,,Men_typ,Women_typ,Unisex_typ,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,DAVIDOFF,The Brilliant Game,https://m.media-amazon.com/images/I/7149pV2hGIL.__AC_SX300_SY300_QL70_ML2_.jpg,215,93.75,851.25,100,EDT,Men,Arabian,Tonka Bean,Charismatic Virility Of A Cedarwood,4.2,noon,4.2,98.1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,LANVIN PARIS,L'Homme Sport,https://www.perfumesthailand.com/image/cache/data/2/lanvin-l-homme-sport-500x500.jpg,170,149.45,1357.006,100,EDT,Men,Aromatic,"Cedar, Sandalwood, Musk, Amber, Iris, Vetiver, Benzoin, Moss, Spices","Jasmine, Violet, Iris, Ylang-Ylang, Gardenia, Carnation, Rosemary, Orchid, Cloves",4,Parvant Store,3.8,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,AZZARO,Wanted,https://cdn.thebeautrium.com/image-product/B0072855_2.png,365,196.2,1781.496,100,EDT,Men,Woody,"Vetiver, Tonka Bean, Amber","Guatemalan cardamom, juniper, apple, geranium",5,noon,4.2,98.4K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,adidas,Victory League,https://m.media-amazon.com/images/I/3152TzXHebL._SX300_SY300_QL70_FMwebp_.jpg,77,30.55,277.394,100,EDT,Men,Vanilla,"Cedar,Vanilla, Musk","Lavender, Pear, Cinnamon",4.6,noon,4.2,98.1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,PENHALIGON'S,Portraits George,"https://img.kingpowerclick.com/cdn-cgi/image/format=auto/kingpower-com/image/upload/w_640,h_640/v1680165995/prod/997351-L2.jpg",2350,886,8044.88,75,EDP,Men,Woody,Tonka Bean,Shaving Soap,5,Beuatyone1,4.2,1.3K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,HUGO BOSS,Bottled Unlimited,https://plummour.com/wp-content/uploads/2021/12/Hugo-Boss-Boss-Bottled-Unlimited-EDT-100ml-1.jpg,373,126,1144.08,100,EDT,Men,Vanilla,"Sandalwood, Musk","Pineapple, Rose",4.4,Al-Najm,3.7,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,CHANEL,Bleu De Chanel,"https://www.chanel.com/images//t_one//w_0.51,h_0.51,c_crop/q_auto:good,f_autoplus,fl_lossy,dpr_1.1/w_620/bleu-de-chanel-eau-de-parfum-spray-3-4fl-oz--packshot-default-107360-9539149398046.jpg",920,245,2224.6,100,EDT,Men,Citrus,"Labdanum, Sandalwood, Patchouli, Vetiver, Incense, Cedar, White Musk","Ginger, Iso E Super, Nutmeg, Jasmine",4.8,The smart store,3.7,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Laura Biagiotti,Roma Uomo,https://m.media-amazon.com/images/I/51RPqRt8urL.__AC_SX300_SY300_QL70_ML2_.jpg,289,173.8,1578.104,125,EDT,Men,Citrus,"Cedar, Patchouli, Sandalwood, Benzoin","Jasmine, Heliotrope, Juniperberry, Balsam Fir",4.5,AMLAQ,3.9,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,AZZARO,Visit,https://i5.walmartimages.com/asr/9fed2161-0d1d-4452-b9c5-c4c637d137ab_1.c7e4c3e472554a587e019e4d345eb5f4.jpeg,310,110,998.8,100,EDT,Men,Woody,"Amber, Musk","Labdanum, guaiac wood, incense, Cedar",1,Star.perfume,3.9,537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,CHANEL,Bleu De Chanel,https://s.cdnsbn.com/images/products/xl/17089180205.jpg,930,374,3395.92,100,EDP,Men,Woody,"Incense, Amber, Cedar, Sandalwood, Patchouli, Labdanum","Ginger, Jasmine, Nutmeg, Melon",4.7,Perfume Ms,3.9,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,GUESS,Dare,https://m.media-amazon.com/images/I/81sqp-c70KL.jpg,92,79.9,725.492,100,EDT,Men,Spicy,"Musk, Patchouli, Cedar","Flowers Herb Shepherd, Cashmere, Jasmine",4.3,Noor,3.6,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,JAGUAR,Classic,https://inwfile.com/s-j/rmcfm1.png,120,63.75,578.85,100,EDT,Men,Arabian,"Sandalwood, Benzoin, White Musk","Ginger, Orange Blossom, Lotus",4.4,noon,4.2,98.1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,DAVIDOFF,Cool Water,https://s2.konvy.com/static/team/2022/0322/16479407391525_600x600.jpg,150,71.75,651.49,75,EDT,Men,Aromatic,"Musk, Oakmoss, Cedar, Amber","Sandalwood, Geranium, Neroli, Jasmine",4.1,noon,4.2,98.1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Armaf,Club De Nuit Intense,https://down-th.img.susercontent.com/file/40935dd44101d3763afd9fb7dde74912,210,190,1725.2,200,EDP,Men,Jasmine,"Vanilla, Ambergris, Musk, Patchouli","Rose, Jasmine, Birch",5,Attractive perfume,3.5,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Dolce & Gabbana,The One Royal Night,https://down-th.img.susercontent.com/file/b7e7a9681beab7be52eb8cb300b1600e,630,290.75,2640.01,100,EDP,Men,Woody,"Sandalwood, Cedar, Amber, Labdanum","Pear Wood, Nutmeg",5,AMLAQ,3.9,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Givenchy,Xeryus Rouge,https://plummour.com/wp-content/uploads/2021/07/Xeryus-Rouge-1.jpg,259,199,1806.92,100,EDT,Men,Woody,"Leather, Amber, Musk, Oakmoss, Balsam, Fir, Vetiver, Incense, Cedar","Cyclamen, coriander, carnation, cypress, Sandalwood, juniper berries, cinnamon, tarragon, petitgrain, geranium",4.4,Brides Palace,3.5,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Armaf,Club De Nuit Intense Man,https://down-th.img.susercontent.com/file/40935dd44101d3763afd9fb7dde74912,162,124.3,1128.644,105,EDT,Men,Citrus,"Amber, Agarwood, Vanilla, Patchouli","Caraway, Nutmeg, Violet, Pepper",5,noon,4.2,98.1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,COACH,New York,https://down-my.img.susercontent.com/file/00e35c02cf9bf5c5f82425af7ff44fd3,5.6,5.6,50.848,2,EDT,Men,Citrus,"Vetiver, Suede, Ambergris","Cardamom, Coriander, Geranium",4.7,Princess of beauty,3.8,467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,GIORGIO ARMANI,Code,https://cdn11.bigcommerce.com/s-d75m9rit2s/images/stencil/1280x1280/products/7547/395061/93051-1__84560.1698111992.jpg?c=1,513,265,2406.2,75,EDT,Men,Citrus,"Tobacco, Leather, Tonka Bean",Olive Flower Spiced With Star Anise,5,goldiaa,4.1,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,LOEWE,Esencia,https://s.cdnsbn.com/images/products/xl/26331437905-1.jpg,529,200,1816,100,EDT,Men,Woody,"Cedar, Musk, Sandalwood","Cardamom, Pepper",4.5,Parfume-Stor,4.3,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,JAGUAR,Classic Blue,https://inwfile.com/s-j/rmcfm1.png,290,67,608.36,100,EDT,Men,Spicy,"Sandalwood, Benzoin, White Musk","Ginger, Orange Blossom, Lotus",4.7,Beauty Gallery,4.2,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,VERSACE,The Dreamer,https://i5.walmartimages.com/asr/5610c30c-a98f-4a34-8266-d2a2cd11d9e9.145c5c410361c1d4a746cac8cebdbd3a.jpeg,499,135.7,1232.156,100,EDT,Men,Arabian,"Cedar, Tonka Bean","Geranium, Rose, Tobacco",4,noon,4.2,98.1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Aramis,900 Herbal Spray,https://d3pllp7nz3wmw5.cloudfront.net/product_images/03494935105-2_FULL.jpg,179,100,908,100,EDC,Men,Woody,"Sandalwood, Amber, Patchouli, Civet, Oakmoss Vetiver","Carnation, Orris Root, Jasmine, Lily-of-the-valley, Rose Geranium",4,Star.perfume,3.9,537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,HUGO BOSS,Hugo,https://cdn.thebeautrium.com/image-product/B0049212.png,395,99,898.92,125,EDT,Men,Fresh,"Patchouli, Fir, Cedar","Carnation, Sage, Geranium, Jasmine",4.5,Cute Shop,4.2,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Dunhill,Desire,"https://m.media-amazon.com/images/I/41bgB989dhL._AC_UF1000,1000_QL80_.jpg",111,54.95,498.946,30,EDT,Men,Fresh,"Vanilla, Musk, Labdanum","Rose, Teakwood, Patchouli",4.8,Star.perfume,3.9,537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Aramis,Brown,https://perfumegallery.ae/cdn/shop/products/byredo-2023-04-24T190949.840.png?v=1682349000,161,94.15,854.882,110,EDT,Men,Woody,"Leather, Oakmoss, Amber","Pelargonium, Patchouli, Vetiver, Sandalwood",5,VIP.PARFUME,3.8,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,CARTIER,Declaration Essence,https://cdn.salla.sa/PYEmrUOrncRB8juyfSIHt6yIHoQxwUs4UpwSNpIJ.jpeg,478,173.6,1576.288,100,EDT,Men,Citrus,"Vetiver, Sandalwood, Musk, Amber","Geranium, Lemon, Sicilian Lemon",4.5,noon,4.2,98.1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Sedr Al-Khaleej Perfumes,For Ever,https://sedralkhaleej.com/cdn/shop/files/FOREVERMEN100ml_01673.png?v=1688659632&width=2048,34.85,34.85,316.438,100,EDP,Men,Fresh,"Woody, Musk, Amber","Praline, Cardamom, Cinnamon",4,noon,4.2,98.1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Roberto Cavalli,Uomo,"https://m.media-amazon.com/images/I/81LiK-Yh6hL._AC_UF894,1000_QL80_.jpg",452,126,1144.08,100,EDT,Men,Floral,"Cedar, Tonka Bean, Patchouli","Honey, Lavender",4.6,noon,4.2,98.1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,MONTBLANC,Mont Blanc Legend,"https://img.kingpowerclick.com/cdn-cgi/image/format=auto/kingpower-com/image/upload/w_640,h_640/v1627874476/prod/942714-L1.jpg",220,140,1271.2,100,EDT,Men,Floral,"Vanilla, Amber","Jasmine, Geranium, Neroli, Ylang-Ylan",4.8,Al-Najm,3.7,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,ANGEL SCHLESSER,Schlesser Essential,https://alhajisperfumes.com/cdn/shop/products/product_image_953_1647843710_5fe15948-6ac2-4fa2-9248-64b8f4bac7fc.jpg?v=1671198198,320,165.4,1501.832,100,EDT,Men,Fruity,"Leather, Tonka Bean, Musk, Cedar","Cinnamon, Coffee, Violet Leaf",4.3,top langri,3.7,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Dunhill,Desire Extreme,https://th-test-11.slatic.net/p/ffd630aa4444673dbb30c0dd6e21cfac.png,230,114.75,1041.93,100,EDT,Men,Spicy,"Amber, Musk",Evergreen Cypress,4.9,AMLAQ,3.9,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,HUGO BOSS,Just Different,https://www.perfumenz.co.nz/cdn/shop/products/hugo-just-different-125ml---2_1024x1024.png?v=1614551193,352,144.25,1309.79,125,EDT,Men,Spicy,"Cashmeran, Fir","Freesia, Basil",5,Perfume Ports,3.6,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,PRADA,Amber,https://m.media-amazon.com/images/I/519tZN-NEHL._SL1000_.jpg,399,252.05,2288.614,100,EDT,Men,Arabian,"Neroli, Orange Blossom, Vetiver, Saffron","Patchouli, Tonka Bean, Lovely Vanilla",5,noon,4.2,98.1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,MONTBLANC,Emblem ED,https://media.maxaroma.com/9cd29e92-4b8f-436f-ad1f-8e368b30dc1d/https://www.maxaroma.com/productimages/large/PP3386460074827_1.jpeg?ver=1713962545,22.4,22.4,203.392,5,EDT,Men,Spicy,"Woodsy, Tonka Bean","Violet Leaf, Cinnamon",4.8,Star.perfume,3.9,537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,BURBERRY,Brit Rhythm,https://cdn.thebeautrium.com/image-product/B0009843.png,360,119.95,1089.146,90,EDT,Men,Woody,"Cedar, Tonka Bean","Black Leather, Patchouli, Styrax",4,hadayiq baris,3.8,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Emper,Tool Box,https://m.media-amazon.com/images/I/41OPHVSPTVL._SY300_SX300_QL70_FMwebp_.jpg,88,54.95,498.946,100,EDT,Men,Oriental,"Geranium, Amber, White Musk","Patchouli, Vetiver, Lavender",5,Golen Dream,3.8,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,HUGO BOSS,Boss Bottled Man Of Today,https://resources.commerceup.io/?key=https%3A%2F%2Fprod-admin-images.s3.ap-south-1.amazonaws.com%2FPeZho1KcxJ6lLWV8SlDT%2Fproduct%2F4907.jpg&width=800&resourceKey=PeZho1KcxJ6lLWV8SlDT,487,177,1607.16,100,EDT,Men,Woody,"Vanilla, Sandalwood, Vetiver, Cedar, Olivewood, Amber, Musk","Geranium, Cinnamon, Cloves",4.1,Acacia Rose,4.4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Dolce & Gabbana,The One,https://cdn.thebeautrium.com/image-product/B0048323.png,350,189.6,1721.568,100,EDT,Men,Spicy,"Amber, Cedar, Tobacco","Ginger, Orange Blossom, Cardamom",4.3,noon,4.2,98.1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Dolce & Gabbana,K,https://cdn.thebeautrium.com/image-product/B0048777_2.png,338,269,2442.52,100,EDT,Men,Woody,"Blood Orange, Pressed Sicilian Lemon, Juniper Berries","Pimento, Clary Sage, Geranium, Lavandin",4.1,Grass gulf,3.7,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Aramis,Brown,https://m.media-amazon.com/images/I/61wTQ3GpCDL.__AC_SX300_SY300_QL70_ML2_.jpg,161,104,944.32,110,EDT,Men,Floral,"Leather, Oakmoss, Amber","Pelargonium, Patchouli, Vetiver, Sandalwood",4,top langri,3.7,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,GIORGIO ARMANI,Acqua Di Gio,https://cdn.thebeautrium.com/image-product/B0007799.png,480,195.6,1776.048,100,EDT,Men,Citrus,"Musk, Sandalwood","Hyacinth, Jasmine, Rose, Lily",4.2,hadayiq baris,3.8,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,CARTIER,Declaration,https://m.media-amazon.com/images/I/411jLS9bPpL._SX300_SY300_QL70_FMwebp_.jpg,460,101.6,922.528,100,EDT,Men,Spicy,"Leather, Amber, Tea, Vetiver, Oakmoss, Cedar","Iris, Ginger, Cinnamon, Pepper, Juniper, Orris Root, Jasmine, Guatemalan Cardamom",4.5,Number One,3.5,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,joop,Homme,https://plummour.com/wp-content/uploads/2021/06/JOOP-Homme-1.jpg,223,55,499.4,125,EDT,Men,Citrus,"Vanilla, Tonka Bean, patchouli, Sandalwood","Jasmine, lily of the valley, heliotrope, cinnamon",4.4,hadayiq baris,3.8,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Jacques Bogart,One Man Show,https://m.media-amazon.com/images/I/81RsFam2anL._SY679_.jpg,40.55,40.55,368.194,100,EDT,Men,Woody,"Sandalwood, Tonka Bean, Amber, Coconut, Vanilla, Oakmoss, Cedar, Styrax","Labdanum, Nutmeg, Spices, Carnation, Patchouli, Jasmine, Vetiver, Rose, Pine Tree Needles, Geranium",4.5,Golden Perfumesعطر أصلي 100 %,3.6,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,CARON,Pour Un Homme De Caron,https://cdn.cosmostore.org/cache/front/shop/products/135/324419/350x350.jpg,404,176,1598.08,200,EDT,Men,Vanilla,Musk,Vanilla,3,Diorworld,3.5,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,CHOPARD,1000 Miglia,https://perfumestoreth.com/wp-content/uploads/2019/10/CHOPARD-1000-MIGLIA-EDT-FOR-MEN.jpg,275,153.3,1391.964,80,EDT,Men,Woody,"Amber, Woody, Coffee","Violet, Green Grass, Asphalt, Leather",1,noon,4.2,98.1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Rasasi,Oud Al-Mubakhar,https://m.media-amazon.com/images/I/41RA3Jk-k3L._SX300_SY300_QL70_FMwebp_.jpg,40,30.85,280.118,100,EDP,Men,Arabian,"Sandalwood, Tonka Bean, Musk, Patchouli","Turkish Rose, Violet, Geranium",4,noon,4.2,98.1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,VERSACE,Eau Fraiche,"https://static.beautytocare.com/cdn-cgi/image/width=768,height=650,f=auto/media/catalog/product//v/e/versace-man-eau-fraiche-eau-de-toilette-for-men-100ml.jpg",363,178.1,1617.148,100,EDT,Men,Woody,"Amber, Musk, Platanus, Saffron, Woody","Cedar, Pepper, Sage",4.4,noon,4.2,98.1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,S.T.Dupont,Essence Pure,https://cdn.riah.ae/storage/upload/images/2023/08/06/64cfb067d348e.jpg,215,74.35,675.098,100,EDT,Men,Woody,"Cypress, Amber, Musk, Cedar","Iris, Lavender, Bamboo",4.6,noon,4.2,98.1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Calvin Klein,CK One,https://img.lazcdn.com/g/p/df5d9d24b4e3a6ffbdfea2254e93621c.jpg_720x720q80.jpg,448,107,971.56,200,EDT,Men,Citrus,"Sandalwood, Amber, Musk, Cedar, Oakmoss","Nutmeg, Violet, Orris Root, Jasmine, Lily-of-the-valley Rose",4.5,AMLAQ,3.9,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,CARTIER,Santos D Concentree,https://www.cartier.com/variants/images/25372685655544547/img2/w1242_tpadding12.jpg,240.5,240.5,2183.74,100,EDT,Men,Spicy,"Sandalwood, Amber, Coconut, Patchouli, Vanilla, Cedar","Pepper, Nutmeg, Vetiver, Geranium, Rosemary, Cloves, Clary Sage",4.5,alryhanaksa,3.6,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,DORALL COLLECTION,Green Secret,https://m.media-amazon.com/images/I/61RQRZaejeL._SX679_.jpg,27,9.5,86.26,100,EDT,Men,Fruity,"Moss, Sandalwood, Coumarin","Ylang, Geranium, Jasmine",2,B.A.G,3.7,14.1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,armani,Code Absolu ED,https://w7.beauticool.com/product_images/5fd1dcf618218.png,8.5,8.5,77.18,2,EDP,Men,Floral,"Vanilla, Amber, Musk, Patchouli","Jasmine, Geranium, Neroli, Ylang-Ylang",5,Princess of beauty,3.8,467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,LACOSTE,L.12.12 Blanc,https://www.lacoste.co.th/pub/media/catalog/product//w/3/w3_99350066867_000_99350066867_000_31.jpg?auto=webp&format=webp,244,88,799.04,100,EDT,Men,Woody,"Leather, Suede, Cedar","Mexican Tuberose, Ylang-Ylang",3.7,hadayiq baris,3.8,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Remy Marquis,Remy,https://m.media-amazon.com/images/I/71ABvf7AB5L._AC_SX679_.jpg,57.3,57.3,520.284,100,EDT,Men,Spicy,"Cedar, Sandalwood, Musk, Amber","Geranium, Cinnamon, Nutmeg",4.5,moon perfume,3.7,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,DAVIDOFF,The Game,https://cdn.thebeautrium.com/image-product/B0018752.png,215,83.95,762.266,100,EDT,Men,Woody,Ebony Wood,"Iris, Woody Notes",4.9,noon,4.2,98.1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,ROGER & GALLET,Open,https://m.media-amazon.com/images/I/61KhicFuK3L.__AC_SX300_SY300_QL70_ML2_.jpg,43.4,43.4,394.072,100,EDT,Men,Spicy,"Lamon, Woody","Sage, Thyme",5,Acacia Rose,3.5,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,LACOSTE,Challenge,https://image.makewebcdn.com/makeweb/m_1920x0/2q1fSqVKm/1product/0444.jpg?v=202405291424,300,144.95,1316.146,90,EDT,Men,Citrus,"Ginger, Jasmine, Juniper, Nutmeg, Pepper, Violet, Whisky","Amber, Musk, Wood",4.8,Beautiful Live,3.9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,LACOSTE,Essential,https://labelleperfumes.com/cdn/shop/products/sg-11134201-22100-11qznkv3x4hv6b_1024x.jpg?v=1668704418,336,148.65,1349.742,125,EDT,Men,Citrus,"Sandalwood, Patchouli","Pepper, Rose",3.3,AMLAQ,3.9,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,Rasasi,Al Wisam Day,https://rasasistore.com/cdn/shop/files/AlWisam_2.jpg?v=1708708827,213,84.8,769.984,100,EDP,Men,Oriental,"Amber, Musk, Oakmoss, Agarwood (Oud)","Rose, Clary Sage, Sandalwood, Cedar",5,hadayiq baris,3.8,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Rasasi,Shuhrah,https://m.media-amazon.com/images/I/51yn4I3Fs-L._AC_SX679_.jpg,77.95,77.95,707.786,90,EDP,Men,Floral,"Amber, Musk, Oakmoss, Agarwood, Leather","Rose, Sandalwood, Cedar,Jasmine",5,VIP.PARFUME,3.7,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,GUCCI,Guilty Black,"https://img.kingpowerclick.com/cdn-cgi/image/format=auto/kingpower-com/image/upload/w_640,h_640/v1510831894/prod/468551-l1.jpg",425,218.05,1979.894,90,EDT,Men,Spicy,Patchouli,Orange Flower,5,noon,4.2,98.1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,Arabian Oud,Sheikh Al Shuyukh,https://decoracionmarroqui.com/cdn/shop/files/eau-de-parfum-unisex-sheikh-al-shuyukh-luxe-edition-perfume-arabe-lattafa-100ml.jpg?v=1697583088&width=1346,54,54,490.32,100,EDP,Men,Woody,"Vetiver, Patchouli","Lavender, Sage, Rosemary",5,VIP.PARFUME,445,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,ISSEY MIYAKE,L'eau D'issey Pour Homme,https://cdn.thebeautrium.com/image-product/B0044932.png,220,155.75,1414.21,125,EDT,Men,Floral,Coriander,Nutmeg,5,noon,4.2,98.1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,JAGUAR,Classic Black,https://fragstalk.in/wp-content/uploads/2022/01/Jaguar-Classic-Black-100-ml-EDT.png,60,60,544.8,100,EDT,Men,Aromatic,"Sandalwood, Oakmoss, Tonka Bean, Cedar, Vetiver, Musk","Cardamom With Black Tea Leaves, Geranium, Nutmeg",4.3,perfumes--addresses,4.4,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Creation Lamis,Above The Law,https://thecreationlamis.com/cdn/shop/files/CLAbovetheLaw_M_Bottle_Tin_1500x.jpg?v=1687347940,28.5,28.5,258.78,100,EDT,Men,Woody,"Vetiver, Tonka Bean, Amber","Guatemalan Cardamom, Juniper, Apple, Geranium",4,Princess of beauty,3.8,467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,DIESEL,Plus Plus Masculine,https://i.makeup.uk/5/5b/5bdkfrwz1mxb.jpg,50,30,272.4,75,EDT,Men,Spicy,"Vetiver, Musk, Sandalwood, Patchouli, Oakmoss, Nutmeg, Clove, Cinnamon, Tonka Bean, Anise","Jasmine, Birch, Sage, Cardamom, Coriander, Lily-of-the-valley, Violet, Green Notes",4.5,Attractive perfume,3.8,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Calvin Klein,Eternity,https://static.beautytocare.com/media/catalog/product/c/a/calvin-klein-eternity-for-men-eau-de-toilette-100ml.jpg,463,95,862.6,100,EDT,Men,Floral,"Sandalwood, Vetiver, Rosewood, Ambergris","Jasmine, Geranium, Sage",4.5,hadayiq baris,3.8,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Guerlain,L'Homme Ideal,https://down-th.img.susercontent.com/file/th-11134207-7r98z-ly519kl2f60m30,6.5,6.5,59.02,1,EDT,Men,Floral,"Vanilla, Amber, Musk, Patchouli","Jasmine, Geranium, Neroli, Ylang-Ylang",5,Princess of beauty,3.8,467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,DIESEL,Only The Brave Tattoo,https://perfumery.ae/cdn/shop/products/405a9cce6f8b540ad35d33f9a2ac1d1e.jpg?v=1703568490,236.9,236.9,2151.052,75,EDT,Men,Citrus,"Woody, Benzoin, Tobacco, Patchouli","Sage, Bourbon Pepper",4.5,hadayiq baris,3.8,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,HUGO BOSS,Orange EDT Sp,https://down-th.img.susercontent.com/file/800a8a1d6d79ca88d1802a773810abf5,199,110,998.8,100,EDT,Men,Floral,"Vanilla, Woody","Incense, Sichuan Pepper",4.8,Acacia Rose,4.4,537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,BVLGARI,Man In Black,https://perfumestoreth.com/wp-content/uploads/2019/10/BVLGARI-MAN-IN-BLACK-EDP-FOR-MEN.jpg,485,187,1697.96,100,EDP,Men,Spicy,"Tonka Bean, Guaiac Wood, Benzoin","Leather, Iris, Tuberose",4.6,Kado Store,4.2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
